FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,EmployeeClassificationType,TerminationType,DepartmentType,Division,DOB,State,GenderCode,Performance Score,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Training Program Name,Training Type,Training Outcome,Location,Training Cost
Renee,Becker,2020-04-04,2022-06-22,Database Administrator,Heather Phillips,renee.becker@bilearner.com,EW,Terminated for Cause,Full-Time,Full-Time,Resignation,IT/IS,Field Operations,1996-12-03,MA,Female,Fully Meets,3947,2023-07-28,4,3,Project Management,Internal,Failed,New Kathleenmouth,456.02
Randall,Pearson,2023-02-03,2023-05-29,Data Analyst,Peggy Mccoy,randall.pearson@bilearner.com,MSC,Voluntarily Terminated,Contract,Full-Time,Involuntary,IT/IS,Aerial,1943-10-29,MA,Male,Fully Meets,3948,2023-03-10,4,4,Leadership Development,External,Passed,East Wesleyport,350.68
Claudia N,Carr,2022-09-20,2023-07-04,Sr. DBA,Natasha Walton,claudia n.carr@bilearner.com,SVG,Future Start,Full-Time,Temporary,Voluntary,IT/IS,General - Con,1991-03-17,MA,Female,Fully Meets,3949,2023-04-22,5,2,Communication Skills,Internal,Incomplete,Lake Kelsey,843.66
Taisha,Goble,2021-04-25,2023-02-12,Database Administrator,Joseph Jensen,taisha.goble@bilearner.com,MSC,Terminated for Cause,Contract,Temporary,Resignation,IT/IS,Wireline Construction,1961-09-07,MA,Female,Fully Meets,3951,2023-04-01,4,1,Project Management,Internal,Completed,Joneston,532.41
Draven,Giles,2020-02-16,2023-03-16,Database Administrator,Aaron Richards,draven.giles@bilearner.com,SVG,Active,Contract,Full-Time,Resignation,IT/IS,Project Management - Con,1998-10-28,MA,Female,Fully Meets,3955,2023-06-10,2,1,Technical Skills,External,Failed,Kimberlychester,762.36
Aliana,Shaw,2019-08-07,2023-03-08,Database Administrator,Joseph Shelton,aliana.shaw@bilearner.com,EW,Active,Contract,Temporary,Retirement,IT/IS,General - Sga,1997-01-02,TX,Female,Fully Meets,3956,2022-09-26,4,5,Customer Service,External,Failed,Phamchester,611.15
Braylen,Mendoza,2022-11-11,2023-07-14,Data Architect,Douglas Chapman,braylen.mendoza@bilearner.com,PYZ,Terminated for Cause,Part-Time,Full-Time,Resignation,IT/IS,General - Con,1988-08-20,TX,Male,Fully Meets,3959,2023-06-30,5,4,Communication Skills,Internal,Incomplete,New Michael,116.9
Marlee,Stevens,2021-06-07,2023-01-25,Sr. Accountant,Wendy Jackson,marlee.stevens@bilearner.com,PYZ,Future Start,Part-Time,Temporary,Involuntary,IT/IS,Aerial,2001-02-26,MA,Male,Exceeds,3964,2023-03-28,5,2,Project Management,Internal,Completed,Kylestad,639.13
Konner,Villegas,2018-10-19,2021-09-04,Software Engineer,Ruth Myers,konner.villegas@bilearner.com,NEL,Future Start,Contract,Part-Time,Voluntary,Software Engineering,Field Operations,1978-04-28,MA,Female,Fully Meets,3966,2022-10-03,5,5,Customer Service,External,Failed,Jacobsland,726.74
Anastasia,Gillespie,2018-12-03,2021-01-20,Data Analyst,Harold Jones,anastasia.gillespie@bilearner.com,MSC,Active,Full-Time,Temporary,Involuntary,IT/IS,Finance & Accounting,1955-07-19,MA,Female,Fully Meets,3967,2023-01-05,5,3,Customer Service,External,Failed,Lake Garyport,683.96
Macy,Webster,2020-10-04,2023-04-27,Database Administrator,Cynthia Gardner,macy.webster@bilearner.com,PYZ,Active,Part-Time,Full-Time,Voluntary,IT/IS,Field Operations,1950-11-08,MA,Female,Exceeds,3970,2023-01-14,5,1,Technical Skills,Internal,Incomplete,North Spencerfort,216.73
Brooklyn,Tanner,2018-09-21,2023-06-22,Database Administrator,Jason Sims,brooklyn.tanner@bilearner.com,WBL,Terminated for Cause,Part-Time,Temporary,Resignation,IT/IS,Field Operations,1973-05-22,TX,Female,Exceeds,3973,2022-08-17,3,2,Leadership Development,Internal,Passed,West Kaylamouth,202.97
Zander,Franco,2018-12-25,2019-07-10,Data Architect,Ronnie Garcia,zander.franco@bilearner.com,BPC,Terminated for Cause,Part-Time,Full-Time,Involuntary,IT/IS,General - Eng,1986-01-07,TX,Male,Exceeds,3974,2023-04-04,4,5,Communication Skills,Internal,Passed,Lake Amyland,487.4
Kianna,Rhodes,2020-11-03,2022-09-25,CIO,Curtis Hill,kianna.rhodes@bilearner.com,CCDR,Terminated for Cause,Part-Time,Temporary,Voluntary,IT/IS,Field Operations,1999-01-25,TX,Male,Fully Meets,3975,2022-11-27,1,4,Leadership Development,External,Completed,East Kathryn,669.81
Peyton,Phelps,2021-01-25,2022-06-11,Software Engineering Manager,Emma Allen,peyton.phelps@bilearner.com,WBL,Future Start,Contract,Temporary,Resignation,IT/IS,Technology / It,1967-10-30,MA,Female,Fully Meets,3979,2022-12-09,3,5,Communication Skills,External,Failed,Ryantown,477.12
Kiara,Fox,2020-07-24,2023-04-09,Data Analyst,Richard Bailey,kiara.fox@bilearner.com,BPC,Active,Full-Time,Temporary,Resignation,IT/IS,Field Operations,1960-02-07,MA,Female,Fully Meets,3981,2022-10-31,1,2,Communication Skills,External,Passed,South Kelly,869.96
Christine,Skinner,2022-02-10,2022-06-08,Database Administrator,Thomas Ramirez,christine.skinner@bilearner.com,EW,Active,Contract,Full-Time,Retirement,IT/IS,Wireline Construction,1963-07-23,TX,Female,Fully Meets,3984,2023-02-24,5,5,Communication Skills,Internal,Incomplete,Farmerside,202.91
Zayne,Mccullough,2023-01-13,2023-05-19,Database Administrator,Melissa Turner,zayne.mccullough@bilearner.com,MSC,Terminated for Cause,Part-Time,Part-Time,Resignation,IT/IS,People Services,1992-01-18,TX,Male,Fully Meets,3985,2022-09-28,5,4,Communication Skills,Internal,Passed,Lindseyhaven,956.95
Aydan,Benjamin,2022-02-25,2022-07-19,Data Architect,Lindsay Nelson,aydan.benjamin@bilearner.com,PYZ,Terminated for Cause,Full-Time,Full-Time,Retirement,IT/IS,Catv,1982-05-03,TX,Male,Exceeds,3987,2022-12-22,5,4,Project Management,External,Passed,New Keith,962.54
Kenzie,Mullins,2022-07-21,2022-11-21,Sr. DBA,Anthony Williams,kenzie.mullins@bilearner.com,SVG,Leave of Absence,Contract,Temporary,Voluntary,IT/IS,Shop (Fleet),1981-06-17,MA,Female,Fully Meets,3988,2023-05-20,5,2,Project Management,Internal,Passed,West Marioside,190.07
Damarion,Schneider,2019-12-02,2019-12-26,Sr. Accountant,Caitlin Murphy,damarion.schneider@bilearner.com,WBL,Future Start,Contract,Temporary,Involuntary,IT/IS,Safety,1956-12-18,MA,Male,Fully Meets,3990,2022-08-27,2,2,Technical Skills,Internal,Failed,West Adambury,475.04
Evelin,Snow,2022-12-08,2023-05-07,Data Analyst,Roy Villegas,evelin.snow@bilearner.com,SVG,Active,Part-Time,Full-Time,Voluntary,IT/IS,General - Eng,1961-12-28,MA,Male,Fully Meets,3992,2023-07-14,4,3,Project Management,External,Completed,Claychester,323.25
Cortez,Murillo,2019-07-15,2021-06-01,Database Administrator,Stuart White,cortez.murillo@bilearner.com,NEL,Active,Full-Time,Temporary,Resignation,IT/IS,Wireline Construction,1946-12-08,MA,Female,Exceeds,3995,2023-01-05,4,5,Project Management,External,Incomplete,Ericfort,803.73
Ace,Krause,2021-12-24,2022-07-27,Database Administrator,Brittany Rubio,ace.krause@bilearner.com,CCDR,Terminated for Cause,Full-Time,Full-Time,Resignation,IT/IS,Yard (Material Handling),1971-01-22,TX,Female,Fully Meets,3998,2023-02-22,5,5,Customer Service,External,Completed,Port Kyle,994.09
Reuben,Davila,2019-04-17,2021-08-17,Database Administrator,John Henderson,reuben.davila@bilearner.com,BPC,Terminated for Cause,Full-Time,Full-Time,Involuntary,IT/IS,Engineers,1943-02-01,TX,Male,Exceeds,3999,2022-10-02,5,4,Leadership Development,Internal,Incomplete,Williamsland,477.78
Angelique,Mann,2019-10-26,2021-06-08,Data Architect,Eugene Morgan,angelique.mann@bilearner.com,PYZ,Terminated for Cause,Contract,Full-Time,Involuntary,IT/IS,Field Operations,1960-03-31,TX,Male,Fully Meets,4000,2023-04-21,3,2,Leadership Development,Internal,Completed,Jamesfurt,951.27
Sandra,Martin,2022-12-12,2023-05-28,Software Engineer,Angela Hayes,sandra.martin@bilearner.com,NEL,Active,Part-Time,Temporary,Involuntary,Software Engineering,Catv,1950-07-08,MA,Female,Fully Meets,1002,2023-08-03,4,5,Leadership Development,Internal,Failed,Brandonview,582.37
Keyla,Del Bosque,2023-03-08,2023-03-15,Software Engineer,Christina Copeland,keyla.del bosque@bilearner.com,WBL,Active,Contract,Part-Time,Voluntary,Software Engineering,Field Operations,1973-11-23,MA,Female,Fully Meets,1003,2023-01-03,2,5,Technical Skills,Internal,Incomplete,Port Briannahaven,777.06
Andrew,Szabo,2020-05-29,2021-03-05,Software Engineer,Jennifer Cohen,andrew.szabo@bilearner.com,PYZ,Active,Part-Time,Part-Time,Involuntary,Software Engineering,Project Management - Con,1957-01-27,MA,Male,Fully Meets,1004,2023-07-30,3,5,Customer Service,Internal,Completed,Knightborough,824.3
Colby,Andreola,2021-08-15,2021-11-20,Software Engineer,Beth Johnson,colby.andreola@bilearner.com,MSC,Active,Full-Time,Part-Time,Resignation,Software Engineering,Engineers,1959-02-19,MA,Female,Fully Meets,1006,2023-05-03,5,2,Project Management,Internal,Failed,Erinfort,838.07
Edward,TRUE,2020-10-25,2021-09-26,Software Engineer,Raymond Adams,edward.true@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineering,General - Con,2000-03-18,MA,Male,Fully Meets,1007,2023-07-18,2,1,Leadership Development,External,Failed,New Christopher,667.32
Judith,Carabbio,2019-08-28,2020-05-04,Software Engineer,Jessica Rhodes,judith.carabbio@bilearner.com,BPC,Active,Contract,Temporary,Voluntary,Software Engineering,General - Con,1981-12-21,MA,Female,Fully Meets,1008,2023-06-21,5,2,Technical Skills,External,Incomplete,Lowemouth,758.18
Adell,Saada,2019-06-13,2023-01-12,Software Engineer,Steven Tran,adell.saada@bilearner.com,NEL,Active,Part-Time,Temporary,Retirement,Software Engineering,General - Con,1987-03-01,MA,Female,Fully Meets,1009,2023-06-06,2,5,Customer Service,Internal,Incomplete,Johnland,101.21
Kamari,Hunter,2021-01-12,2022-03-18,Software Engineer,Kristen Collier,kamari.hunter@bilearner.com,EW,Voluntarily Terminated,Part-Time,Temporary,Voluntary,Software Engineering,Field Operations,1992-10-21,MA,Male,Fully Meets,1010,2022-09-15,2,4,Communication Skills,External,Incomplete,Lake Kimfurt,332.25
Sarah,Malone,2022-02-07,2023-02-12,Software Engineer,David Lopez,sarah.malone@bilearner.com,MSC,Voluntarily Terminated,Contract,Temporary,Resignation,Software Engineering,General - Con,1948-02-22,MA,Male,Fully Meets,1011,2022-12-08,1,2,Communication Skills,Internal,Completed,Smithshire,803.98
Skyler,Blackwell,2020-11-09,2021-06-06,Software Engineer,Candice Schmidt,skyler.blackwell@bilearner.com,TNS,Voluntarily Terminated,Contract,Temporary,Involuntary,Software Engineering,General - Eng,1978-10-03,MA,Male,Fully Meets,1012,2023-01-13,3,5,Technical Skills,External,Failed,Howardburgh,887.08
Kole,Quinn,2022-12-31,2023-07-13,Shared Services Manager,Jermaine Weaver,kole.quinn@bilearner.com,WBL,Active,Part-Time,Full-Time,Retirement,Software Engineering,Catv,1953-07-13,MA,Male,Fully Meets,1014,2023-06-28,4,4,Customer Service,External,Incomplete,Watersview,895.49
Jayda,Reese,2020-02-21,2021-05-29,Senior BI Developer,Tyler Davis,jayda.reese@bilearner.com,PL,Active,Part-Time,Part-Time,Involuntary,Admin Offices,Shop (Fleet),1956-03-08,MA,Female,Fully Meets,1016,2022-12-09,2,3,Communication Skills,External,Completed,Lake Stuartfurt,606.68
Julien,Whitehead,2020-09-07,2021-12-15,Senior BI Developer,Joshua Gonzalez,julien.whitehead@bilearner.com,BPC,Active,Full-Time,Full-Time,Involuntary,Admin Offices,Field Operations,1947-07-05,MA,Female,Fully Meets,1017,2023-07-16,4,1,Technical Skills,External,Passed,Cooleybury,265.73
Alan,Haynes,2020-06-19,2021-12-08,Senior BI Developer,Justin Sherman,alan.haynes@bilearner.com,CCDR,Active,Part-Time,Part-Time,Involuntary,Admin Offices,General - Con,1942-02-24,MA,Female,Fully Meets,1018,2023-06-21,4,1,Project Management,Internal,Incomplete,Larsonborough,673.29
Kamryn,Herrera,2022-10-14,2023-07-28,Software Engineer,Sara Holland,kamryn.herrera@bilearner.com,EW,Voluntarily Terminated,Full-Time,Temporary,Retirement,Software Engineering,Fielders,1978-11-28,MA,Male,Fully Meets,1019,2023-06-21,1,3,Project Management,External,Passed,Powellland,436.98
Kelvin,Foster,2023-06-20,2023-07-18,Software Engineer,Shelia Graham,kelvin.foster@bilearner.com,MSC,Voluntarily Terminated,Contract,Full-Time,Resignation,Software Engineering,Field Operations,1990-12-20,MA,Female,Fully Meets,1020,2023-08-01,2,1,Technical Skills,External,Passed,Chadport,578.58
Joe,Fletcher,2020-11-09,2023-07-17,Software Engineer,Amanda Hayden,joe.fletcher@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Full-Time,Resignation,Software Engineering,General - Eng,1989-01-25,MA,Male,Fully Meets,1021,2023-03-09,5,1,Technical Skills,Internal,Failed,Patrickhaven,647.16
Nickolas,Davila,2018-11-09,2021-10-10,Shared Services Manager,Debra Morales,nickolas.davila@bilearner.com,WBL,Active,Contract,Part-Time,Voluntary,Software Engineering,General - Con,1992-04-05,MA,Male,Fully Meets,1023,2023-01-17,4,4,Project Management,Internal,Failed,West Justinborough,893.07
Kasey,Boyer,2018-12-30,2021-06-23,Shared Services Manager,Chad Andrews,kasey.boyer@bilearner.com,NEL,Active,Contract,Part-Time,Involuntary,Software Engineering,Fielders,1987-03-30,MA,Female,Fully Meets,1024,2022-10-12,5,3,Project Management,External,Completed,Hullmouth,868.98
Giovanni,Jenkins,2023-05-11,2023-05-15,Senior BI Developer,John Wallace,giovanni.jenkins@bilearner.com,PL,Active,Full-Time,Temporary,Retirement,Admin Offices,Field Operations,1960-11-13,MA,Female,Fully Meets,1025,2023-01-24,4,1,Project Management,Internal,Incomplete,Thompsonbury,761.95
Alexis,Moss,2022-11-03,2023-02-09,Senior BI Developer,Benjamin Frederick,alexis.moss@bilearner.com,BPC,Active,Contract,Part-Time,Resignation,Admin Offices,Engineers,1950-11-07,MA,Female,Fully Meets,1026,2022-10-09,5,2,Communication Skills,External,Incomplete,Cynthiachester,431.57
Joanna,Murphy,2020-06-14,2021-05-29,Senior BI Developer,Michael Ramos,joanna.murphy@bilearner.com,CCDR,Active,Part-Time,Full-Time,Voluntary,Admin Offices,General - Con,1962-12-21,MA,Male,Fully Meets,1027,2023-04-05,2,3,Communication Skills,External,Incomplete,East Jackstad,357.57
Joseph,Schmidt,2019-10-15,2023-01-01,Software Engineer,Donna Boone,joseph.schmidt@bilearner.com,PYZ,Voluntarily Terminated,Full-Time,Part-Time,Resignation,Software Engineering,General - Con,2000-10-22,MA,Male,Fully Meets,1028,2023-03-26,5,5,Technical Skills,Internal,Incomplete,East Christopher,804.06
Kiley,Haynes,2022-04-19,2022-08-26,Software Engineer,Dominique Bailey,kiley.haynes@bilearner.com,PYZ,Active,Full-Time,Part-Time,Voluntary,Software Engineering,Aerial,1954-07-01,MA,Male,Fully Meets,1032,2023-05-22,5,4,Technical Skills,External,Completed,New Jackie,482.23
Kody,Jimenez,2021-07-06,2021-11-25,Senior BI Developer,Daniel Moore,kody.jimenez@bilearner.com,BPC,Active,Part-Time,Part-Time,Resignation,Admin Offices,Field Operations,1993-08-08,MA,Male,Fully Meets,1036,2022-08-09,5,2,Customer Service,External,Failed,Michaelmouth,305.98
Zoe,Colon,2020-09-24,2020-11-02,Software Engineer,Stacey Vargas,zoe.colon@bilearner.com,CCDR,Voluntarily Terminated,Part-Time,Full-Time,Voluntary,Software Engineering,Fielders,1993-07-27,MA,Male,Fully Meets,1037,2022-11-25,5,1,Leadership Development,Internal,Failed,North Stephanie,646.76
Nolan,Perez,2019-08-22,2022-03-25,Software Engineer,Joshua Daniels,nolan.perez@bilearner.com,EW,Voluntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineering,Finance & Accounting,1982-11-17,MA,Female,Fully Meets,1039,2022-12-03,2,4,Customer Service,External,Passed,East Williamport,520.41
Katrina,Farrell,2019-07-25,2022-12-17,Software Engineer,Mark Mays,katrina.farrell@bilearner.com,MSC,Voluntarily Terminated,Contract,Part-Time,Retirement,Software Engineering,Field Operations,1972-04-25,MA,Male,Fully Meets,1040,2022-09-27,5,3,Technical Skills,Internal,Completed,Robertsmouth,712.84
Camden,Kelly,2019-11-11,2020-01-10,Software Engineer,Brandon Ortiz,camden.kelly@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Full-Time,Retirement,Software Engineering,Engineers,1976-11-04,MA,Male,Fully Meets,1041,2023-01-19,3,1,Customer Service,Internal,Completed,Reesefurt,871.12
Kale,Lang,2022-12-19,2023-05-10,Shared Services Manager,Matthew Patel,kale.lang@bilearner.com,WBL,Active,Full-Time,Part-Time,Resignation,Software Engineering,Splicing,1955-12-16,MA,Female,Fully Meets,1043,2023-02-25,1,1,Communication Skills,External,Completed,West Danielside,289.93
Elliott,Ashley,2020-10-04,2023-02-27,Senior BI Developer,Kelly Williams,elliott.ashley@bilearner.com,PL,Active,Full-Time,Temporary,Involuntary,Admin Offices,Catv,1963-06-10,MA,Female,Fully Meets,1045,2022-08-08,1,4,Customer Service,External,Completed,West Josephport,690.41
Genesis,Todd,2022-04-23,2022-08-03,Software Engineer,Jose Daniel,genesis.todd@bilearner.com,CCDR,Voluntarily Terminated,Full-Time,Temporary,Involuntary,Software Engineering,Underground,1962-11-17,MA,Male,Fully Meets,1046,2023-02-18,3,5,Leadership Development,Internal,Failed,Lake Jose,211.39
Demarion,Morrow,2019-05-30,2020-12-19,Software Engineer,Patricia Brewer,demarion.morrow@bilearner.com,MSC,Voluntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineering,Field Operations,1954-09-26,MA,Male,Fully Meets,1049,2023-07-27,3,5,Leadership Development,Internal,Completed,Gonzalezfort,518.54
Devon,Hinton,2022-04-08,2023-01-11,Software Engineer,Allison York,devon.hinton@bilearner.com,PYZ,Active,Full-Time,Part-Time,Involuntary,Software Engineering,Field Operations,1981-04-29,MA,Male,Fully Meets,1051,2023-01-01,2,4,Leadership Development,Internal,Passed,Hardingfort,572.94
Jacquelyn,Johns,2021-02-25,2021-06-04,Shared Services Manager,Christopher Romero,jacquelyn.johns@bilearner.com,WBL,Active,Contract,Part-Time,Voluntary,Software Engineering,General - Con,1980-06-21,MA,Female,Fully Meets,1052,2022-11-19,1,4,Communication Skills,Internal,Incomplete,Larryview,234.76
Blaine,Keith,2019-03-13,2021-04-07,Shared Services Manager,Timothy Hansen,blaine.keith@bilearner.com,NEL,Active,Contract,Full-Time,Resignation,Software Engineering,Project Management - Con,1947-07-25,MA,Female,Fully Meets,1053,2022-10-12,2,1,Communication Skills,External,Passed,Valdezfort,704.7
Frida,Livingston,2018-10-10,2018-12-25,Shared Services Manager,Sandra Black,frida.livingston@bilearner.com,CCDR,Active,Part-Time,Full-Time,Voluntary,Software Engineering,General - Con,1976-02-05,MA,Female,Fully Meets,1060,2023-07-01,5,5,Project Management,Internal,Completed,East Andres,770.84
Travis,Vasquez,2019-05-18,2020-01-14,Software Engineer,Amanda Hale,travis.vasquez@bilearner.com,BPC,Voluntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineering,Engineers,1969-11-03,MA,Male,Fully Meets,1062,2023-01-03,3,2,Technical Skills,Internal,Failed,Carolinemouth,702.84
Wyatt,Donovan,2022-03-30,2022-04-13,Software Engineer,Terry Durham,wyatt.donovan@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Part-Time,Retirement,Software Engineering,Field Operations,1987-02-24,MA,Male,Fully Meets,1064,2022-12-14,5,4,Leadership Development,External,Passed,South Charlene,819.86
Gage,Weeks,2021-12-27,2023-01-05,Software Engineer,Summer Moreno,gage.weeks@bilearner.com,MSC,Active,Full-Time,Temporary,Voluntary,Software Engineering,Catv,1981-04-23,MA,Male,Fully Meets,1066,2023-07-15,4,3,Communication Skills,Internal,Completed,Brandonberg,769.42
Wyatt,Edwards,2018-10-13,2023-05-28,Shared Services Manager,Cassandra Smith,wyatt.edwards@bilearner.com,WBL,Active,Full-Time,Part-Time,Resignation,Software Engineering,General - Con,1975-09-13,MA,Female,Fully Meets,1069,2023-02-04,3,1,Communication Skills,Internal,Failed,South Angelaview,886.06
Karla,Reed,2018-12-15,2022-05-28,Shared Services Manager,Warren Baker,karla.reed@bilearner.com,NEL,Active,Full-Time,Temporary,Resignation,Software Engineering,General - Sga,1998-11-04,MA,Male,Fully Meets,1070,2023-03-05,3,1,Technical Skills,Internal,Failed,Robertside,943.8
Yadira,Mcmillan,2019-03-28,2020-10-17,Software Engineer,Amy Bell,yadira.mcmillan@bilearner.com,PL,Voluntarily Terminated,Contract,Part-Time,Involuntary,Software Engineering,Field Operations,1968-06-23,MA,Male,Fully Meets,1071,2023-05-15,1,2,Communication Skills,Internal,Completed,Johnport,234.26
Lilianna,Mccall,2021-02-19,2023-02-24,Software Engineer,Robert Garcia,lilianna.mccall@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Temporary,Voluntary,Software Engineering,General - Con,1983-07-08,MA,Male,Fully Meets,1074,2023-02-10,3,4,Project Management,Internal,Passed,Davisberg,103.42
Salvador,Thomas,2022-11-05,2023-04-16,Software Engineer,Nicholas Martinez,salvador.thomas@bilearner.com,EW,Active,Part-Time,Full-Time,Involuntary,Software Engineering,Engineers,1968-04-23,MA,Male,Fully Meets,1075,2023-04-10,1,2,Project Management,Internal,Passed,East Darryl,573.29
Jair,Silva,2020-03-22,2020-09-28,Software Engineer,Carlos Barnes,jair.silva@bilearner.com,MSC,Active,Contract,Part-Time,Retirement,Software Engineering,General - Eng,1943-01-28,MA,Female,Fully Meets,1076,2023-04-11,1,3,Technical Skills,External,Incomplete,Jamieville,619.61
Litzy,Conner,2020-02-24,2021-06-16,Software Engineer,Angela Ramsey,litzy.conner@bilearner.com,PYZ,Active,Contract,Temporary,Voluntary,Software Engineering,Aerial,1997-03-19,MA,Female,Fully Meets,1078,2023-07-28,3,3,Project Management,External,Passed,Villanuevaborough,597.64
Joanna,Burnett,2021-04-07,2022-05-01,Shared Services Manager,Malik Smith,joanna.burnett@bilearner.com,WBL,Active,Part-Time,Full-Time,Resignation,Software Engineering,Project Management - Eng,2000-04-11,MA,Female,Fully Meets,1079,2022-10-08,2,2,Communication Skills,External,Incomplete,North Jon,861.1
Armani,Porter,2022-01-17,2022-08-10,Software Engineer,Kayla Ibarra,armani.porter@bilearner.com,EW,Voluntarily Terminated,Contract,Part-Time,Involuntary,Software Engineering,General - Con,1965-08-24,MA,Male,Fully Meets,1081,2023-03-03,1,3,Communication Skills,External,Failed,Brandonview,526.08
Taylor,Sanders,2021-09-02,2023-06-27,Software Engineer,Ryan Mathews,taylor.sanders@bilearner.com,MSC,Active,Part-Time,Part-Time,Retirement,Software Engineering,General - Con,1976-03-03,MA,Male,Fully Meets,1082,2023-02-27,1,4,Customer Service,External,Incomplete,New Colinfort,662.15
Ava,Pace,2022-08-12,2022-10-20,Software Engineer,Justin Young,ava.pace@bilearner.com,SVG,Active,Contract,Temporary,Voluntary,Software Engineering,Field Operations,1973-07-30,MA,Female,Fully Meets,1086,2023-03-14,1,1,Leadership Development,External,Completed,East Robertside,641.69
Delaney,Bruce,2022-07-08,2023-08-04,Software Engineer,Robert Salinas,delaney.bruce@bilearner.com,TNS,Active,Part-Time,Part-Time,Voluntary,Software Engineering,Field Operations,1974-08-05,MA,Female,Fully Meets,1087,2023-05-03,1,5,Technical Skills,Internal,Incomplete,Heatherview,197.34
Jair,Bullock,2020-08-15,2021-01-23,Software Engineer,Mary Anderson,jair.bullock@bilearner.com,WBL,Active,Contract,Part-Time,Resignation,Software Engineering,General - Con,1991-04-08,MA,Female,Fully Meets,1088,2023-04-20,4,3,Leadership Development,External,Failed,North Elizabeth,235.15
Kayla,Farrell,2023-05-27,2023-06-14,Software Engineer,Jennifer Stevens,kayla.farrell@bilearner.com,BPC,Active,Full-Time,Temporary,Involuntary,Software Engineering,Wireline Construction,1953-04-29,MA,Female,Fully Meets,1089,2023-04-19,3,1,Technical Skills,Internal,Passed,North Amanda,697.28
Carl,Desimone,2018-11-16,2021-04-03,Production Technician I,Daniel Booth,carl.desimone@bilearner.com,PYZ,Active,Contract,Temporary,Involuntary,Production       ,General - Sga,1986-08-26,MA,Male,Fully Meets,1091,2023-04-22,2,4,Customer Service,Internal,Incomplete,Port Patricia,213.91
Linda,Anderson,2022-02-15,2022-10-19,Production Technician I,Adam Hunt,linda.anderson@bilearner.com,PYZ,Active,Part-Time,Part-Time,Voluntary,Production       ,Shop (Fleet),1973-01-11,MA,Female,Fully Meets,1096,2022-12-17,1,3,Technical Skills,External,Incomplete,Alexandriachester,778.25
Nilson,Fernandes,2023-07-17,2023-08-03,Production Technician I,Jeffrey Saunders,nilson.fernandes@bilearner.com,SVG,Active,Contract,Part-Time,Involuntary,Production       ,Field Operations,1999-08-02,MA,Male,Fully Meets,1097,2022-10-31,1,2,Customer Service,Internal,Completed,Port Danielmouth,609.5
Alain,Robinson,2019-05-03,2023-06-02,Production Technician I,Stephanie Griffin,alain.robinson@bilearner.com,PL,Voluntarily Terminated,Part-Time,Temporary,Involuntary,Production       ,General - Eng,1993-01-10,MA,Male,Fully Meets,1098,2022-12-28,2,2,Leadership Development,External,Failed,Rachelshire,666.67
Seffi,Shields,2022-03-25,2022-04-22,Production Technician I,Robert Sullivan,seffi.shields@bilearner.com,SVG,Active,Part-Time,Part-Time,Retirement,Production       ,Field Operations,1971-12-24,MA,Female,Fully Meets,1099,2023-08-04,1,5,Project Management,External,Incomplete,Arthurmouth,797.05
Samuel,MacLennan,2021-04-11,2023-05-27,Production Technician I,Chad Moreno,samuel.maclennan@bilearner.com,BPC,Voluntarily Terminated,Full-Time,Temporary,Involuntary,Production       ,Splicing,1957-04-02,MA,Male,Fully Meets,1103,2022-11-06,5,3,Leadership Development,External,Passed,Hoffmanview,308.21
Shakira,Perry,2020-10-08,2022-12-04,Production Technician I,Mark Jacobs,shakira.perry@bilearner.com,PL,Voluntarily Terminated,Contract,Full-Time,Voluntary,Production       ,General - Con,1948-10-11,MA,Female,Fully Meets,1105,2023-02-15,1,4,Technical Skills,Internal,Incomplete,Lake Heidi,172.19
Enola,Chivukula,2022-06-11,2022-09-25,Production Technician I,Timothy Moore,enola.chivukula@bilearner.com,EW,Voluntarily Terminated,Full-Time,Part-Time,Retirement,Production       ,Field Operations,1981-10-01,MA,Female,Fully Meets,1109,2022-10-16,4,5,Leadership Development,External,Completed,South Ericburgh,898.37
Alexandra,Kirill,2019-09-08,2020-08-29,Production Technician I,Mark Hernandez,alexandra.kirill@bilearner.com,BPC,Voluntarily Terminated,Full-Time,Part-Time,Retirement,Production       ,Splicing,1952-05-31,MA,Female,Fully Meets,1111,2023-05-11,4,1,Project Management,Internal,Failed,Davilatown,786.57
Ryker,Logan,2019-03-09,2023-07-12,Production Technician I,Ryan Jenkins,ryker.logan@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Full-Time,Voluntary,Production       ,Field Operations,1984-08-10,MA,Male,Fully Meets,1116,2022-12-16,3,4,Communication Skills,Internal,Incomplete,Kempmouth,557.68
